population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,5,Prevalence,1,Global,2,Female,20,75-79 years,402,Acute hepatitis B,1,Number,2023,43233.38253615015,83800.96817565165,21044.42979160857
1,All Population,5,Prevalence,1,Global,1,Male,30,80-84 years,402,Acute hepatitis B,1,Number,2023,35309.72841942752,66051.7145937671,15875.722306266736
1,All Population,5,Prevalence,1,Global,2,Female,30,80-84 years,402,Acute hepatitis B,1,Number,2023,26201.971819650465,51683.56369501061,11766.546344728784
1,All Population,5,Prevalence,1,Global,1,Male,31,85-89 years,402,Acute hepatitis B,1,Number,2023,15672.383431890124,29747.421379539588,6911.688713941151
1,All Population,5,Prevalence,1,Global,2,Female,31,85-89 years,402,Acute hepatitis B,1,Number,2023,13343.90373085394,27777.064826385656,5496.126486785672
1,All Population,5,Prevalence,1,Global,1,Male,32,90-94 years,402,Acute hepatitis B,1,Number,2023,4820.627747412801,9400.915116067978,1987.5874446806013
1,All Population,5,Prevalence,1,Global,2,Female,32,90-94 years,402,Acute hepatitis B,1,Number,2023,4750.018498804909,9566.275972983503,1858.5748769549796
1,All Population,5,Prevalence,1,Global,1,Male,34,2-4 years,402,Acute hepatitis B,1,Number,2023,44548.23062200035,59700.13183175608,31655.83597776651
1,All Population,5,Prevalence,1,Global,2,Female,34,2-4 years,402,Acute hepatitis B,1,Number,2023,32895.35228669613,44136.886078932046,23314.536096595235
1,All Population,5,Prevalence,1,Global,1,Male,235,95+ years,402,Acute hepatitis B,1,Number,2023,1128.180058931492,2306.3504338080807,355.52886236221525
1,All Population,5,Prevalence,1,Global,2,Female,235,95+ years,402,Acute hepatitis B,1,Number,2023,1457.4335222903014,3177.7994476411677,483.8846256069356
1,All Population,5,Prevalence,1,Global,1,Male,238,12-23 months,402,Acute hepatitis B,1,Number,2023,21614.617831944543,30697.58600971772,14618.149696715562
1,All Population,5,Prevalence,1,Global,2,Female,238,12-23 months,402,Acute hepatitis B,1,Number,2023,16252.980968877231,22503.35818637501,11163.409376388889
1,All Population,5,Prevalence,1,Global,1,Male,388,1-5 months,402,Acute hepatitis B,1,Number,2023,6987.8405405796575,10392.41116716004,4539.282790508546
1,All Population,5,Prevalence,1,Global,2,Female,388,1-5 months,402,Acute hepatitis B,1,Number,2023,5230.693462789499,7527.554813705874,3476.612873180537
1,All Population,5,Prevalence,1,Global,1,Male,389,6-11 months,402,Acute hepatitis B,1,Number,2023,7218.667403595717,9994.660237632408,4982.5311831248055
1,All Population,5,Prevalence,1,Global,2,Female,389,6-11 months,402,Acute hepatitis B,1,Number,2023,5421.436475022241,8111.592637657273,3749.227101213668
